league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
MLS,fbxg,Vancouver W'caps,FC Dallas,0.961385546853394,0.8319321622220806,0.613077395695063,0.7384766961355644,0.357350433806695,5.972027972027972,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
MLS,fbxg,D.C. United,NYCFC,0.8691211815387055,0.6034586473503833,0.3216470340345729,0.4163688870306097,0.3205616632874504,4.336734693877551,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
MLS,fbxg,CF Montréal,Charlotte,0.8346434970340922,0.5415656872217092,0.2652343110706469,0.2993156903274474,0.3457334402242733,3.994082840236686,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
MLS,fbxg,Toronto FC,Austin,0.8107397504385148,0.527155298192782,0.2757444132790261,0.4705232650853594,0.1069584919846429,3.692307692307693,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
MLS,fbxg,Orlando City,NE Revolution,0.9015481564048072,0.6881497649146109,0.4338694514253871,0.6211654987124792,0.1768166995732347,4.647435897435898,0.0,0.0,0.0,3–0,3,0,3,1.0,1.0,1.0,0.0,H
MLS W,fbxg,Angel City,Red Stars,0.8419044372166962,0.5746085839768211,0.3159347581387927,0.1346539717948494,0.5084146663208238,3.9722222222222223,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
MLS W,fbxg,Courage,Current,0.7002702665255793,0.4053162777527898,0.1934377790225981,0.390660733001722,0.0240515350721837,2.859375,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
MLS W,fbxg,Pride,Gotham,0.4507901525895684,0.1660611520929099,0.048502323306183,0.1494126805636826,0.0195729129141735,1.890625,0.0,0.0,0.0,3–0,3,0,3,1.0,1.0,1.0,0.0,H
MLS W,fbxg,Wave,Spirit,0.7869669643617315,0.4983051604538303,0.2560943789161832,0.0774499089981421,0.4561868841166703,3.484375,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
MLS W,fbxg,Spirit,Thorns,0.9202269659530106,0.7216919409881131,0.4628108146708415,0.622153699071233,0.2634357982920823,4.987654320987654,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
